BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,NEW DIST
650,3,6,3,,3,6,3,650585,KATANA SUSHI MT. AIRY,1311,SOUTH MAIN STREET,MT AIRY,21771-5330,10/21/2009,210,0,39.3667765,-77.16451552,210,0,459
650,3,6,2,,3,6,2,146500095,OLDE TOWN RESTAURANT,206,SOUTH MAIN STREET,MT AIRY,21771,7/23/2014,185.73333333333332,0,39.376213073789934,-77.15518158,185.73333333333332,0,465
650,3,6,4,,3,6,4,650729,MAMMA ANGELA,5,RIDGESIDE COURT,MT AIRY,21771,11/23/2010,100.06666666666666,0,39.36373987281489,-77.16465033,100.06666666666666,0,17
650,3,6,5,,3,6,5,650968,LEDO PIZZA OF MT. AIRY,520,EAST RIDGEVILLE BOULEVARD,MT AIRY,21771-5252,1/17/2013,175,0,39.36452093503843,-77.16234529,175,0,390
650,2,14,3,,2,14,3,176500034,IHOP CATONSVILLE,5525,BALTIMORE NATIONAL PIKE,CATONSVILLE,21228-1553,12/22/2017,180.6,90.3,39.2897385,-76.7225835,180.6,90.3,379
650,3,7,1,,3,7,1,236500022,LOS AZTECAS II,1604,RIDGESIDE DRIVE,MT AIRY,21771-5240,7/19/2023,523.7266666666666,0,39.36351145747056,-77.16311385,523.7266666666666,0,212
650,3,8,5,,3,8,5,216500006,PHO 5UP,11200,SCAGGSVILLE ROAD,LAUREL,20723,2/3/2021,237.32333333333332,0,39.146139,-76.903038,237.32333333333332,0,233
650,3,8,4,,3,8,4,6501075,GINZA OF TOKYO,7530,MONTPELIER ROAD,LAUREL,20723,1/20/2014,299.5566666666667,0,39.16081786,-76.89267848,299.5566666666667,0,330
650,3,8,2,,3,8,2,650796,ASIAN PALACE,10801,HICKORY RIDGE ROAD,COLUMBIA,21044,6/8/2011,246.5933333333333,0,39.20951865,-76.885607,246.5933333333333,0,145
650,3,11,7,,3,11,7,206500001,AKIRA RAMEN - COLUMBIA ,10101,TWIN RIVERS ROAD,COLUMBIA,21044,1/15/2020,522.1033333333334,36.46666666666667,39.21538030128092,-76.86498975,522.1033333333334,36.46666666666667,20
650,3,11,6,,3,11,6,186500020,BONCHON COLUMBIA,10100,TWIN RIVERS ROAD,COLUMBIA,21044,7/3/2018,315.6166666666667,49.88333333333333,39.215878,-76.8650884,315.6166666666667,49.88333333333333,19
